count,birdID,starttime,starttime2,endtime,startdate,enddate,totaltime.sec,site,year,siteSST,relSST,yearNum,prop.flightT,prop.colony,prop.ice,prop.water,prop.deepdive,prop.diveShallN,prop.totaldive,Hg_blood,SIC,SST,Weight,Scull,Tarsus,Wing,Sex,Y1.propF,Y1.propC,Y1.propI,Y1.propD,Y1.propW
1,DLW10,1501074240,7/26/17 13:04:00,7/27/17 11:23:26,2017/7/26,2017/7/27,80366,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.177848842,0.282992808,0.115459274,0.29259886,0.088370704,0.042729512,0.131100217,NA,0.018154234,2.585069377,142,51.98,21.01,115,NA,0.17811898,0.2819807,0.116490258,0.13194046,0.2914696
2,DLW13,1501078920,7/26/17 14:22:00,7/27/17 12:15:16,2017/7/26,2017/7/27,78796,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.150147216,0.257817656,0.176417585,0.231179248,0.142659526,0.04177877,0.184438296,NA,0.018154234,2.585069377,152,47.5,23.15,119,NA,0.15075518,0.257112562,0.176705175,0.18462807,0.230799
3,DLW14,1501079580,7/26/17 14:33:00,7/29/17 10:38:07,2017/7/26,2017/7/29,245107,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.197636134,0.301892643,0.12582668,0.213947378,0.141187318,0.019509847,0.160697165,NA,0.01995776,2.585069377,148,52.7,21.4,122,NA,0.19766496,0.30065005,0.126731232,0.16117647,0.2137773
4,DLW15,1501080060,7/26/17 14:41:00,7/27/17 10:35:09,2017/7/26,2017/7/27,71649,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.130287931,0.432497313,0.044410948,0.211363732,0.160044104,0.021395972,0.181440076,NA,0.018154234,2.585069377,146,51.1,19.6,120,NA,0.13113808,0.42966198,0.046308375,0.18166642,0.2112251
5,DLW16,1501080540,7/26/17 14:49:00,7/29/17 13:28:16,2017/7/26,2017/7/29,254356,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.131555772,0.329663936,0.125650663,0.204048656,0.197093837,0.011987136,0.209080973,NA,0.01995776,2.585069377,142,53.23,21.33,120,NA,0.13239046,0.328082668,0.126557362,0.20897023,0.2039993
6,DLW18,1501081560,7/26/17 15:06:00,7/27/17 18:36:47,2017/7/26,2017/7/27,99047,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.140569629,0.190475229,0.199672883,0.261067978,0.167677971,0.040536311,0.208214282,NA,0.020268596,2.585069377,157,53.45,21.77,118,NA,0.14129439,0.190591385,0.199676872,0.20811411,0.2603232
7,DLW25,1501415100,7/30/17 11:45:00,8/2/17 9:02:01,2017/7/30,2017/8/2,249421,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.251991613,0.307023065,0.083184656,0.270538567,0.073586426,0.013675673,0.087262099,NA,0.017409058,2.312083287,152,49.6,22.6,125,NA,0.25135757,0.305717906,0.084609233,0.08863695,0.2696783
8,DLW27,1501416600,7/30/17 12:10:00,8/1/17 0:45:53,2017/7/30,2017/8/1,131753,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.252677358,0.21821894,0.039604411,0.306004417,0.157863578,0.025631295,0.183494873,NA,0.018609301,2.312083287,146,52.13,19.45,120,NA,0.25203495,0.217996758,0.041560455,0.18369616,0.3047117
9,DLW29,1501417980,7/30/17 12:33:00,8/1/17 10:10:18,2017/7/30,2017/8/1,164238,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.138366273,0.267288934,0.1522303,0.238556242,0.174070556,0.029487695,0.203558251,NA,0.018609301,2.312083287,137,50.3,20.8,116,NA,0.1391179,0.266468338,0.152812857,0.20351486,0.238086
10,DLW31,1501419180,7/30/17 12:53:00,8/3/17 9:30:21,2017/7/30,2017/8/3,333441,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.201603882,0.220101907,0.176295057,0.318440144,0.07851464,0.005044371,0.08355901,NA,0.016272281,2.312083287,144,52.19,20.9,121,NA,0.20158432,0.219856762,0.176584141,0.08497902,0.3169958
11,DLW32,1501420560,7/30/17 13:16:00,8/4/17 10:45:38,2017/7/30,2017/8/4,422978,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.130380303,0.036349408,0.57534198,0.175503218,0.010797252,0.071627839,0.082425091,NA,0.015897638,2.312083287,154,51.4,22,121,NA,0.13122932,0.038345147,0.570764639,0.08385893,0.175802
12,DLW34,1501422060,7/30/17 13:41:00,8/4/17 10:00:18,2017/7/30,2017/8/4,418758,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.189242952,0.109270748,0.295464206,0.259686979,0.090980948,0.055354166,0.146335115,NA,0.015897638,2.312083287,135,50.79,19.76,113,NA,0.18937414,0.110377203,0.294300008,0.14698956,0.2589591
13,DLW35,1501422660,7/30/17 13:51:00,8/3/17 10:29:06,2017/7/30,2017/8/3,333486,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.192388886,0.142239854,0.303299089,0.192556809,0.101596469,0.067918893,0.169515362,NA,0.016272281,2.312083287,154,51.7,22.9,115,NA,0.1924817,0.142944246,0.302039344,0.16988713,0.1926476
14,DLW3,1501064760,7/26/17 10:26:00,7/27/17 8:03:31,2017/7/26,2017/7/27,77851,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.084764486,0.355037186,0.118071701,0.260600378,0.151044945,0.030481304,0.181526249,NA,0.018154234,2.585069377,160,52.49,21.01,119,NA,0.0861698,0.353146489,0.119070827,0.18175154,0.2598613
15,DLW5,1501069020,7/26/17 11:37:00,7/27/17 23:10:10,2017/7/26,2017/7/27,127990,Ukaleqarteq,2017,Ukaleqarteq cold,cold,1,0.16307524,0.236424721,0.128408469,0.265325416,0.173568248,0.033197906,0.206766154,NA,0.020268596,2.585069377,166,49.3,23.7,121,NA,0.16352554,0.235980517,0.129281537,0.20668364,0.2645288
